"ID"|"Group"|"No"|"Title"|"Description"|"Image"|"Download_lbl"|"Download_lnk"
1000|"Conference Publications"|"28"|"LQ2011 recommendations"|"LQ2011 recommendations An international conference on ’Land Quality and Land Use Information in the European Union’ was organised in association with the Hungarian EU presidency in Keszthely (Hungary) in May 2011. The conference was organized by the Hungarian Academy of Sciences, University of Pannonia and the European Commission (Eurostat, DG ENV, JRC), under the auspices of the Hungarian Ministry of Rural Development. The conference was supported by the International Union of Soil Sciences. The conference discussed the options to cope with these issues and concluded with five main recommendations addressing future horizons. Download the Conclusions and Recommendations of LQ2011 Last Update: 30/06/2011"|""|"Conclusions and Recommendations"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Conf/LQ2011_Recommendations.pdf"
1001|"Conference Publications"|"27"|"100 years Bulgarian Soil Science"|"100 years Bulgarian Soil Science From 16 – 18 May 2011, scientists from Bulgaria and 22 other countries gathered in the ""Nikola Poushkarov"" Institute of Soil Science, Sofia to commemorate the achievements of 100 years soil science in Bulgaria and its future development. Download the Resolution of the International Conference ""100 Years Soil Science in Bulgaria"" , Nikola Poushkarov Institute of Soil Science. Last Update: 29/06/2011"|""|"International Conference ""100 Years Soil Science in Bulgaria"""|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Conf/Resolution_Conference_100_Years-Poushkarov.pdf"
1002|"Conference Publications"|"26"|"Abstract Proceedings of the 6th International Congress of European Society for Soil Conservation."|"Abstract Proceedings of the 6th International Congress of European Society for Soil Conservation. Editors: Th. Karyotis, D. Gabriels, 2011. Abstract Proceedings of the 6th International Congress of European Society for Soil Conservation, ""Innovative Strategies and Policies for Soil Conservation"". Thessaloniki 9-14 May 2011. ISBN: 978-960-88296-9-5. The 6th International Congress of the European Society for Soil Conservation “Innovative Strategies and Policies for Soil Conservation” was organized in Thessaloniki between 9 May and 14 May 2011. After the great success of the 5th ESSC International Congress held in Palermo in June 2007, 200 scientists from over 50 countries have participated in the 6th ESSC Congress. The Conference was divided in Six (6) sessions: SESSION 1. Policies and thematic strategies for soil protection SESSION 2. Forest fires impacts on natural resources and cultural heritage SESSION 3. Sustainable management of wetlands and drylands SESSION 4. Soil and water management under global climatic change scenarios SESSION 5. Conservation and Management of Soil Biodiversity SESSION 6. Restoration and remediation of degraded lands - Education in soil conservation and public awareness Download the Proceedings Book: 6th International Congress of European Society for Soil Conservation. (5MB) Last Update: 30/05/2011"|""|"6th International Congress of European Society for Soil Conservation."|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Conf/6thESSC.pdf"
1003|"Conference Publications"|"25"|"Landslide mapping by textural analysis of Daedalus ATM data."|"Landslide mapping by textural analysis of Daedalus ATM data. Hervás, J., Rosin, P.L., 1996. Landslide mapping by textural analysis of Daedalus ATM data. Proc. 11th Thematic Conference on Applied Geologic Remote Sensing, Las Vegas, Nevada, 27-29 February 1996. ERIM, Ann Arbor, Michigan, Vol. 2, pp. 394-402. In this paper we evaluate two statistical approaches to semi-automated texture enhancement and discrimination for landslide mapping in semi-arid, sedimentary terrain from Daedalus ATM data. A supervised texture discrimination technique is applied, based on calculating similarity between a reference texture spectrum obtained from training samples and spectra from moving image windows. The results are compared with those from interpreting a set of popular texture measures from the literature, derived from grey level co-occurrence matrix statistics Download the Article: Landslide mapping by textural analysis of Daedalus ATM data. Last Update: 20/05/2010"|""|"Landslide mapping by textural analysis of Daedalus ATM data."|"http://eusoils.jrc.ec.europa.eu/Esdb_Archive/eusoils_docs/Conf/Hervas_Rosin_ERIM_1996.pdf"
1004|"Conference Publications"|"24"|"Progress in landslide susceptibility mapping over Europe using Tier-based approaches."|"Progress in landslide susceptibility mapping over Europe using Tier-based approaches. Günther, A., Hervás, J., Reichenbach, P., Malet, J.-P., 2010. Progress in landslide susceptibility mapping over Europe using Tier-based approaches. Geophysical Research Abstracts, 12, EGU2010-15275. The European Thematic Strategy for Soil Protection aims, among other objectives, to ensure a sustainable use of soil. The legal instrument of the strategy, the proposed Framework Directive, suggests identifying priority areas of several soil threats including landslides using a coherent and compatible approach based on the use of common thematic data. In a first stage, this can be achieved through landslide susceptibility mapping using geographically nested, multi-step tiered approaches, where areas identified as of high susceptibility by a first, synoptic-scale Tier (""Tier 1"") can then be further assessed and mapped at larger scale by successive Tiers. Download the Article: Progress in landslide susceptibility mapping over Europe using Tier-based approaches Last Update: 20/05/2010"|""|"Progress in landslide susceptibility mapping over Europe using Tier-based approaches"|"http://eusoils.jrc.ec.europa.eu/Esdb_Archive/eusoils_docs/Conf/EGU2010-15275.pdf"
1005|"Conference Publications"|"23"|"Estimate of Peatland Distributuion in Estonia Using an Integrated GIS/RS Approach."|"Estimate of Peatland Distributuion in Estonia Using an Integrated GIS/RS Approach. Gardi C, Sommer S, Seep K, Montanarella L. Estimate of Peatland Distributuion in Estonia Using an Integrated GIS/RS Approach. In Conference Proceedings: Proceedings of the 33rd International Symposium on Remote Sensing of Environment,ISBN 978-0-932913-13-5. Madison WI (United States of America): Omni-Press; 2009. Determination of the spatial extent of peatland is important for the evaluation of soil carbon stocks. At European Level there is a need to provide accurate and updated estimate of the distribution of peatland. Comparison of national data with EU wide land cover mapping shows that there is limited compatibility between the different data sets. The aim of the present study is to test a methodology of standardized mapping and monitoring of peatlands at regional level (national to supra-national bio-climatic regions) based on the enhanced integration of existing thematic maps through GIS analysis in combination with remote sensing, using Estonia as study case. Download the Article: Estimate of Peatland Distributuion in Estonia Using an Integrated GIS/RS Approach. Last Update: 26/04/2010"|""|"Estimate of Peatland Distributuion in Estonia Using an Integrated GIS/RS Approach."|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Conf/isrse_estonia_peat_inventory.pdf"
1006|"Conference Publications"|"22"|"Soil Information and Education for a Sustainable Management: The Soil Atlas of Africa."|"Soil Information and Education for a Sustainable Management: The Soil Atlas of Africa. Dewitte O, Jones A, Montanarella L. Soil Information and Education for a Sustainable Management: The Soil Atlas of Africa. Oral presentation in: African Soil Science Society 5th International Conference, Yaounde, Cameroon, 22-28 November 2009, Yaounde; 22 November 2009; Yaounde (Cameroon); African Soil Science Society (Organiser). 2009 The richness of African soil resources need to be protected for future generations. A number of threats are affecting the functioning of African soils, not only for the purpose of agricultural production, but also for other important environmental services that soil delivers to all of us. The Soil Atlas of Africa is an international project involving the Institute for Environment and Sustainability of the Joint Research Centre of the European Commission, ISRIC, World Soil Information, the Food and Agriculture Organization of the United Nations (Land and Water Development Division) and scientists from the European Soil Bureau Network and the Africa Soil Science Society. The Atlas will compile existing information on different soil types in easily understandable maps (both at national to continental scale) covering the entire Africa. Download the Article: Soil Information and Education for a Sustainable Management: The Soil Atlas of Africa. Last Update: 26/04/2010"|""|"Soil Information and Education for a Sustainable Management: The Soil Atlas of Africa."|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Conf/dewitte_asss_nov09.pdf"
1007|"Conference Publications"|"21"|"Landslide susceptibility mapping at 1:1M scale over France: exploratory results with a heuristic model"|"Landslide susceptibility mapping at 1:1M scale over France: exploratory results with a heuristic model Malet, J.-P., Thiery, Y., Puissant, A., Hervás, J., Günther, A., Grandjean, G., 2009. Landslide susceptibility mapping at 1:1M scale over France: exploratory results with a heuristic model. In: Malet, J.-P., Remaître, A., Boogard, T. (Eds), Proc. International Conference on Landslide Processes: from Geomorphologic Mapping to Dynamic Modelling, 6 -7 February 2009, Strasbourg, France. CERG Editions, Strasbourg, pp. 315-320. Download the Article: Landslide susceptibility mapping at 1:1M scale over France: exploratory results with a heuristic model Last Update: 17/11/2009"|""|"Landslide susceptibility mapping at 1:1M scale over France: exploratory results with a heuristic model"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Conf/LandslideSusceptibilityMapping.pdf"
1008|"Conference Publications"|"20"|"Legislation and Policy of European Union concerning Protection of the Environment"|"Legislation and Policy of European Union concerning Protection of the Environment Beata Housková - Luca Montanarella. Contaminated Sites, Bratislava 15-17 June 2009 Protection of the environment belongs to the priorities of European Union's policy. Tools of such policy realisation are Thematic Strategies. Concept of Thematic Strategies has been introduced in the 6th Environment Action Programme of the European Community. This programme is planned to be realised in time period 2002-2012. Strategies are thematic - they cover interested parts of environment and respective threats to human health and environment as a whole or specifically related. Download the Article: Legislation and Policy of European Union concerning Protection of the Environment Last Update: 17/11/2009"|""|"Legislation and Policy of European Union concerning Protection of the Environment"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Conf/EU_EnvLegislationLM_BH.pdf"
1009|"Conference Publications"|"19"|"Geostatistical analysis of surface soil texture from Zala county in western Hungary"|"Geostatistical analysis of surface soil texture from Zala county in western Hungary K. Adhikari, A. Guadagnini, G. Toth and T. Hermann. Pages 219 - 224 Proceedings of the International Symposium on Environment, Energy and Water in Nepal: Recent Researches and Direction for Future. 31 March - 01 April 2009, Hotel Himalaya, Kathmandu, Nepal. Soil texture is one of the most important soil properties governing most of the physical, chemical and hydrological properties of soils. Variability in soil texture may contribute to the variation in nutrient storage and availability, water retention and transport and binding and stability of soil aggregates. It can directly or indirectly influence many other soil functions and soil threats such as soil erosion. Geostatistics has been extensively used for quantifying the spatial pattern of soil properties and Kriging techniques are proving sufficiently robust for estimating values at unsampled locations in most of the cases. Download the Article: Geostatistical analysis of surface soil texture from Zala county in western Hungary Last Update: 16/11/2009"|""|"Geostatistical analysis of surface soil texture from Zala county in western Hungary"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Conf/KATHMANDU.pdf"
