"ID"|"Group"|"No"|"Title"|"Description"|"Image"|"Download_lbl"|"Download_lnk"
2000|"Poster Publications"|"32"|"Soil biodiversity"|"Soil biodiversity Paul Henning Krogh, Henning Petersen, Arwyn Jones, Luca Montanarella, Ciro Gardi and Simon Jeffery The novel EUROPEAN ATLAS OF SOIL BIODIVERSITY, published by the Joint Research Centre, presents an overview of soil biodiversity in Europe and assesses threats and the contributions to ecosystem services. It is intended for raising awareness of soil biodiversity and its crucial role in sustaining fertility and as a driver of organic matter decomposition and carbon sequestration. The awareness is needed for the proposed Soil Framework Directive by the European Commission in an attempt to prevent further soil degradation across the European Union, and to repair the damage that has already been done. Soil biodiversity Download Poster: Last Update: 17/01/2011"|"/ESDB_Archive/eusoils_docs/poster/small/BiodiversityAU.jpg"|"Soil biodiversity;download"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/BiodiversityAU.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/BiodiversityAU.pdf"
2001|"Poster Publications"|"31"|"Developing SoilML as a global standard for the collation and transfer of soil data and information"|"Developing SoilML as a global standard for the collation and transfer of soil data and information Luca Montanarella, Peter Wilson, Simon Cox, Alex McBratney, Sonya Ahamed, Bob McMillan, David Jacquier, and Jim Fortner There is an increasing need to share soil data and information within countries, across regions and globally. Timely access to consistent and authoritative data and information is critical to issues such as food production, climate change, water management, energy production and biodiversity. Soil data and information is managed by numerous organisations using a plethora of processes, scales and standards. A number of national and international activities and projects are currently dealing with the issues associated with collation of disparate data sets. Standards are being developed for data storage, transfer and collation like, for example, in the GobalSoilMap.net project, e-SOTER and the EU Inspire GS-SOIL. Developing SoilML as a global standard for the collation and transfer of soil data and information Download Poster: Last Update: 12/05/2010"|"/ESDB_Archive/eusoils_docs/poster/small/montanarella_EGU2010_XML.jpg"|"Developing SoilML as a global standard for the collation and transfer of soil data and information;download"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/montanarella_EGU2010_XML.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/montanarella_EGU2010_XML.pdf"
2002|"Poster Publications"|"30"|"The Soil Atlas of Africa, Raising awareness and educate to the importance of soil"|"The Soil Atlas of Africa, Raising awareness and educate to the importance of soil Olivier Dewitte, Arwyn Jones, Claudio Bosco, Otto Spaargaren, Luca Montanarella The richness of African soil resources need to be protected for future generations. A number of threats are affecting the functioning of African soils, not only for the purpose of agricultural production, but also for other important environmental services that soil delivers to all of us. This is of particular importance once we know that many health-related problems in Africa are indirectly related to the services of soils. The Soil Atlas of Africa, Raising awareness and educate to the importance of soil Download Poster: Last Update: 12/05/2010"|"/ESDB_Archive/eusoils_docs/poster/small/Dewitte_EGU2010_SoilAtlasAfrica_poster.jpg"|"The Soil Atlas of Africa, Raising awareness and educate to the importance of soil;download"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/Dewitte_EGU2010_SoilAtlasAfrica_poster.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/Dewitte_EGU2010_SoilAtlasAfrica_poster.pdf"
2003|"Poster Publications"|"29"|"Predicting water erosion at the regional scale in Africa"|"Predicting water erosion at the regional scale in Africa Olivier Dewitte, Claudio Bosco, Arwyn Jones, Luca Montanarella Soil erosion by water is regarded as one of the most widespread forms of soil degradation in Africa, and as such, poses potentially severe limitations to sustainable development. In most of the regions, the evaluation of the impact of soil erosion is difficult due to a lack of up-todate and relevant data. A step forward for improving our knowledge would be the ability in most of the regions to locate at the regional scale the most sensitive areas Predicting water erosion at the regional scale in Africa Download Poster: Last Update: 12/05/2010"|"/ESDB_Archive/eusoils_docs/poster/small/Dewitte_EGU2010_ErosionAfrica_poster.jpg"|"Predicting water erosion at the regional scale in Africa;download"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/Dewitte_EGU2010_ErosionAfrica_poster.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/Dewitte_EGU2010_ErosionAfrica_poster.pdf"
2004|"Poster Publications"|"28"|"Life Beneath Our Feet: Research Challenges in Soil Biodiversity"|"Life Beneath Our Feet: Research Challenges in Soil Biodiversity Simon Jeffery and Ciro Gardi Threats to Soil Biodiversity, Functional redundancy, Resistance vs resilience, Functional diversity, interactions within and between groups of soil organisms Life Beneath Our Feet: Research Challenges in Soil Biodiversity . Download Poster: Last Update: 22/02/2009"|"/ESDB_Archive/eusoils_docs/poster/small/AAASBiodiversity.jpg"|"Life Beneath Our Feet: Research Challenges in Soil Biodiversity .;download"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/AAASBiodiversity.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/AAASBiodiversity.pdf"
2005|"Poster Publications"|"27"|"Supporting Legislation, Serving Society"|"Supporting Legislation, Serving Society The SOIL Action has organized a symposium on soil biodiversity at 2009 meeting of the American Association for the Advancement of Science (AAAS). Life Beneath Our Feet: Research Challenges in Soil Biodiversity . Life Beneath Our Feet: Research Challenges in Soil Biodiversity . Supporting Legislation, Serving Society Download Poster: Last Update: 22/02/2009"|"/ESDB_Archive/eusoils_docs/poster/small/AAASSoil.jpg"|"Life Beneath Our Feet: Research Challenges in Soil Biodiversity . Supporting Legislation, Serving Society;download"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/AAASSoil.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/AAASSoil.pdf"
2006|"Poster Publications"|"26"|"Climate Change: soil can make a difference!"|"Climate Change: soil can make a difference! Soil and Forest Action Carbon (C) sequestration in soils is gaining increasing acceptance as a means of reducing net carbon dioxide (CO2) emissions to the atmosphere. The global quantity of carbon (C) present to a depth of 1 m in soil organic material (SOM) is about twice the 750 Pg present in the atmosphere as CO2. Soil in EU contains about 71 GtC in the upper 30 cm and 140 GtC to a depth of 1 m, equivalent to 7% of the global soil carbon sink. Climate Change: soil can make a difference!. Download Poster:"|"/ESDB_Archive/eusoils_docs/poster/small/Soil_ClimateChange.jpg"|"Climate Change: soil can make a difference!.;download"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/Soil_ClimateChange.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/Soil_ClimateChange.pdf"
2007|"Poster Publications"|"25"|"Recent EU Developments in the Management of Contaminated Soil – a Legal Perspective"|"Recent EU Developments in the Management of Contaminated Soil – a Legal Perspective Aoife Shields, University College Cork, Ireland This presentation explores the legal and operational elements of the contaminated soil provisions of the proposed EU Soil Framework Directive and the land damage provisions of the ELD Recent EU Developments in the Management of Contaminated Soil – a Legal Perspective. Download Poster:"|"/ESDB_Archive/eusoils_docs/poster/small/ContaminatedLands.jpg"|"Recent EU Developments in the Management of Contaminated Soil – a Legal Perspective.;download"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/ContaminatedLands.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/ContaminatedLands.pdf"
2008|"Poster Publications"|"24"|"An accessible digital archive of soil maps"|"An accessible digital archive of soil maps Senthil-Kumar Selvaradjou, Luca Montanarella, Otto Spaargaren, and David Dent. Preservation of older data (in this case maps) are vital as they are building blocks of most current soil information. But in many countries, soil maps are being lost because of a lack of proper attention to storage and retrieval, often compounded by a loss of institutions that have been responsible for the acquisition and maintenance of soil and land resources data. An accessible digital archive of soil maps. Download Poster:"|"/ESDB_Archive/eusoils_docs/poster/small/eudasm.jpg"|"An accessible digital archive of soil maps.;download"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/eudasm.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/eudasm.pdf"
2009|"Poster Publications"|"23"|"First ever Soil Atlas of Europe"|"First ever Soil Atlas of Europe A. Jones. What is soil? Where does it come from? How important is soil in our daily activities? Is soil the same everywhere? Is soil at risk? The First ever Soil Atlas of Europe uses striking maps, clearly written informative texts and stunning photographs to answer these questions. First ever Soil Atlas of Europe. Download Poster:"|"/ESDB_Archive/eusoils_docs/poster/small/soilatlas.jpg"|"First ever Soil Atlas of Europe.;download"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/soilatlas.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/soilatlas.pdf"
