"ID"|"Group"|"No"|"Title"|"Description"|"Image"|"Download_lbl"|"Download_lnk"
3000|"Various Documents"|"56"|"Elementi chimici nei funghi superiori"|"Elementi chimici nei funghi superiori R. M. CENCI, L. COCCHI, O. PETRINI, F. SENA, C. SINISCALCO, L. VESCOVI I funghi in natura sono tra i principali agenti dei cicli biogeochimici, i cicli di materia ed energia alla base del funzionamento degli ecosistemi. Le informazioni relative alla biodiversita delle specie fungine italiane e l'utilizzo dei valori di concentrazione di elementi chimici nei medesimi potrebbero permettere di usare i funghi quali indicatori biologici della qualita di ambienti forestali, boschivi e semi naturali. L'archivio dati dell'EUR Report raccoglie le concentrazioni, su materiale secco, di 35 elementi chimici, metalli pesanti compresi, per oltre 9.000 campioni di funghi superiori che rappresentano circa 200 generi e un migliaio di specie. Il raggiungimento della stabilita statistica dell'archivio ha consentito di definire il concetto di ""fungo di riferimento"". L'uso del ""fungo di riferimento"" potrebbe essere importante, anche solo come approccio metodologico, in vari campi della ricerca micologica e ambientale; dalla biodiversita e bioindicazione, alla tassonomia fino all'impatto igienico sanitario. Updated: 11/02/2011 , Download the Book."|""|"Book"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/Elementi_chimici_funghi_superiori.pdf"
3001|"Various Documents"|"55"|"The Action Soil of the Year in Germany"|"The Action Soil of the Year in Germany Monika Frielinghaus This was the background for members of the German Soil Science Society and the Federal Soil Association of Germany to initiate the action ""Soil of the year"" in 2004. Soil of the year 2005 was the Chernozem. Soil of the year 2006 was the Albic Luvisol. Soil of the year 2007 was the Podzol. Soil of the year 2008 is the Cambisol/ Arenosol. Soil of the year 2009 is the Calcareous Marsh. Soil of the year 2010 are Urbic Anthrosols/ Technosols. Soil of the Year 2011: Vega Fluvic Cambisol or Fluvisol Updated: 4/02/2011 , Download the Document."|""|"Document"|"http://eusoils.jrc.ec.europa.eu/Awareness/Documents/Material/Soil_of_Year.pdf"
3002|"Various Documents"|"54"|"Muschi e suoli per valutare la qualita dell'aria in Sicilia: uno studio sulla R.N.I. ""Grotta Monello"" (Siracusa, Sicilia sud-orientale)"|"Muschi e suoli per valutare la qualita dell'aria in Sicilia: uno studio sulla R.N.I. ""Grotta Monello"" (Siracusa, Sicilia sud-orientale) M. PRIVITERA, A. ZIMBONE, G.M. BEONE, R.M. CENCI e M. PUGLISI Mosses and soil to evaluate the air quality in Sicily: a study on the Integral Natural Reserve ""Grotta Monello"" (Syracuse, SE Sicily) - A study on the air quality by mosses in the Integral Natural Reserve ""Monello Cave"" is here presented. The floristic analysis agrees with the data on the bioaccumulation, emphasizing on the whole a quite good air quality. An exception is the element Vanadium, occurring in the Reserve with high values, as well as in many areas of the Mt. Etna, by assuming an alarm Vanadium in Sicily. Updated: 13/10/2010 , Download the article."|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/GrottaMonello.pdf"
3003|"Various Documents"|"53"|"THE URANIUM CAPTURING BY Fe/Mn GLAEBULES OF SOME QUATERNARY PALEOSOLS OF ITALY"|"THE URANIUM CAPTURING BY Fe/Mn GLAEBULES OF SOME QUATERNARY PALEOSOLS OF ITALY D. MAGALDI, M. LAUBENSTEIN & D. RANALLI. - University of Firenze XIX CONGRESS of Carpathian Balkan Geological Association , Thessaloniki, Greece, on 23-26 September 2010 Recently (2008)the concentration of naturally occurring radionuclides (238U, 232Th, Knat) was measured in some Red Mediterranean soils from carbonate rocks in Spain , Italy and Turkey using gamma-ray spectrometry at the Gran Sasso National Laboratory of INFN (Italy) . The Uranium content ranges 1 to 5 ppm, the content for Thorium ranges 3 ppm up to 30 ppm, whereas for Potassium its content goes 0.13% up to 1.3%. The results indicated that soils characterisedby absence or scarcity of 2:1 clay minerals are poor in uranium whereas soils with illite-smectite as the dominant minerals in clay fraction are noticeably richer. Updated: 13/10/2010. Download the Poster (13 MB)"|""|"Poster"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/PosterMagaldi.pdf"
3004|"Various Documents"|"52"|"LATVIJAS AUGSNU NOTEICEJS , Taxonomy of Latvia soils"|"LATVIJAS AUGSNU NOTEICEJS , Taxonomy of Latvia soils A. Karklins, I. Gemste, H. Mezals, O. Nikodemus, R. Skujans. - Jelgava: LLU, 2009. - 240 pp., incl. 6 tables, 35 figures, 5 annexes and 29 color plates. Edited by Professor A. Karklins. Soils can possess heritage characteristics and can be classified according to their ""cultural value"". ""Pedosites"", likewise ""geosites"", are important for science and teaching, for tourism and recreation, provide elements in the Environmental Impact Analysis, and enhance the awareness of population towards the value of the land where they live. Pedosite richness and diversity are a resource of a territory that should be evaluated and considered in land planning. The methodology used to evaluate and group pedosites of Italy, and the software developed to collect such information and create a specific geodatabase, are presented in this paper as an example for use in other countries. Updated: 10/11/2009. Download the English Abstract, pages 143 - 149 or get the Front Cover"|""|"English Abstract;Front Cover"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/LatviaSoilTaxonomy.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/latvia.jpg"
3005|"Various Documents"|"51"|"The soil cultural heritage of Italy: Geodatabase, maps, and pedodiversity evaluation"|"The soil cultural heritage of Italy: Geodatabase, maps, and pedodiversity evaluation Edoardo A.C. Costantini , and Giovanni L'Abate CRA-ABP Research Centre for Agrobiology and Pedology, Florence, Italy, October 2009 Soils can possess heritage characteristics and can be classified according to their ""cultural value"". ""Pedosites"", likewise ""geosites"", are important for science and teaching, for tourism and recreation, provide elements in the Environmental Impact Analysis, and enhance the awareness of population towards the value of the land where they live. Pedosite richness and diversity are a resource of a territory that should be evaluated and considered in land planning. The methodology used to evaluate and group pedosites of Italy, and the software developed to collect such information and create a specific geodatabase, are presented in this paper as an example for use in other countries. Updated: 16/10/2009. Download the Abstract, Access the article , Quaternary International, Volume 209, Issues 1-2, 1 November 2009, Pages 142-153"|""|"Abstract;article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/constantini.pdf;http://dx.doi.org/10.1016/j.quaint.2009.02.028"
3006|"Various Documents"|"50"|"El suelo, la parte de la naturaleza que se pisa y hay que conservar"|"El suelo, la parte de la naturaleza que se pisa y hay que conservar Soils in the ""High Aragon"" area, up in northern Spain. Heraldo de Huesca September 2009 Updated: 30/09/2009 , Download the Publication."|""|"Publication"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/Suelos.pdf"
3007|"Various Documents"|"49"|"L' ambiente Protagonista di due conferenze"|"L' ambiente Protagonista di due conferenze Besozzo,Il resto del Michelino 21 - 28 May 2009 Download the summary"|""|"summary"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/Michelino210509.pdf"
3008|"Various Documents"|"48"|"Biodiversita: L ' Incontro con Prof. Cenci"|"Biodiversita: L ' Incontro con Prof. Cenci Besozzo, Il resto del Michelino 21 - 28 May 2009 Download the summary"|""|"summary"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/Michelino280509.pdf"
3009|"Various Documents"|"47"|"Indicatori e Bioindicatori: Il Caso di Pavia"|"Indicatori e Bioindicatori: Il Caso di Pavia Guida alla conoscenza della Biologia e dell' ecologia del suolo Pages 183-187, 2008 Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/3169.pdf"
