"ID"|"Group"|"No"|"Title"|"Image"|"Download_lbl"|"Download_lnk"
0|"tab1"|"106"|"Extending Geographic and Thematic Range of SPADE/M with HYPRES Soil Profile Data The measured soil profile data of the Hydraulic Properties of European Soils (HYPRES) were evaluated for their potential use in extending the geographic coverage and thematic range of the profiles of the Soil Profile Analytical Database of Europe of measured profiles (SPADE/M) database. The aim of increasing the number of measured profiles is to improve the definition of pedo-transfer rules (PTRs) to extend the range of parameters characterizing soils and the validation of model runs.The HYPRES and SPADE/M databases follow different concepts in the compilation of soil profiles. These differences were reflected in the organization of storing profile data in the databases. A specific conceptual problem to extending the SPADE/M data set is posed by recording repeated measurements in the HYPRES database for horizons of a profile and multiple profiles for a plot. The two data sets also differ with respect to the properties recorded, the measurement units and the database model. To increase the number of measured soil profile data of the SPADE/M data set with HYPRES profiles the data from the latter has to be standardized to be adjusted to comply with the specifications of the SPADE/M data set. The standardization process involves conversions of units or reference systems, such as the plot co-ordinate transformation or the extraction of properties from comment fields, but also conceptual adaptations of the method used to characterize a soil horizon in the database. The outcome of the standardization process is a series of soil profiles which can be seamlessly added to the SPADE/M data set. Author(s): R. Hiederer Luxembourg: Publications Office of the European Union 2011 – 43 pp. – EUR 26540 EN Scientific and Technical Research series – ISBN 78-92-79-21593-3(online), doi:10.2788/8209 Download report: (Size: 1 MB) Preview FrontPage : Last Update: 21/08/2014"|"/ESDB_Archive/eusoils_docs/images/small/EUR24971EN.JPG"|"download;download"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/other/EUR24971EN.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Images/EUR24971EN.pdf"
1|"tab1"|"105"|"Soil carbon sequestration for climate food security and ecosystem services The international conference SOIL CARBON SEQUESTRATION for climate, food security and ecosystem services – linking science, policy and action (SCS2013) took place in Reykjavik Iceland on 27. – 29. May 2013. The conference was organized by the Soil Conservation Service of Iceland, the Agricultural University of Iceland and the Joint Research Centre of the European Commission (Collaboration Agreement No 31059) in partnership with a group of international and UN agencies, universities and non-governmental organizations. The scientific soil community acknowledges that there is an urgent need to communicate better the value of soil carbon to a broader public. The message so far has not actively reached the media, the public and policy makers. The SCS2013 conference brought together a broad spectrum of soil carbon experts, in order to link science, policy and action on soil carbon sequestration issues. Approximately 200 people from 40 countries from all continents attended the conference: young and high level scientists; present and future leaders in restoration and land management; administrators and policymakers. The conference received extensive media coverage, both in Iceland and globally. Despite coming from different countries and backgrounds, with varied scientific interests and convictions, the overall message was that soil and soil management, specifically soil carbon, needs be a substantial part of the solution in mitigating climate change, ensuring food security and providing ecosystem services. Furthermore soil conservation, preservation and restoration could be considered as ""win-win"" processes for meeting other goals. The SCS2013 conference represented an excellent example of bridge between scientists, land managers and policy makers. The EC was actively involved in the conference and is still willing to bridge the communication gap between science and policy and to continue to act as interface. The conference proceedings aim to present how the potential role of soil carbon sequestration has been discussed along different sessions (forest/ cropland/ revegetation/ desertification/ wetland/ rangeland/ verification) and from different perspectives. Editors: Guðmundur Halldórsson, Francesca Bampa, Arna Björk Þorsteinsdóttir, Bjarni D. Sigurdsson, Luca Montanarella and Andrés Arnalds . Luxembourg: Publications Office of the European Union 2014 – 314 pp. – EUR 26540 EN Scientific and Technical Research series – ISSN 1831-9424 (online) ISBN 978-92-79-35595-0(PDF), doi:10.2788/17815 Download report: (Size: 117 MB) Preview FrontPage : Last Update: 02/07/2014"|"/ESDB_Archive/eusoils_docs/images/small/EUR26540.JPG"|"download;download"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/other/EUR26540.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Images/EUR26540.pdf"
2|"tab1"|"104"|"Progress in the Management of Contaminated Sites in Europe This report presents the current state of knowledge about progress with the management of contaminated sites in Europe. It directly supports the EU Soil Thematic Strategy (COM(2006) 231), which identifies local soil contamination as an important issue. It presents facts, analyses and methods on the management of Contaminated Sites, which can inform policy makers, professional practitioners, researchers, citizens and the media. The report is based on data that were collected from the National Reference Centres for Soil in 39 countries belonging to the European Environment Information and Observation Network (EIO-NET) during a campaign organised by the JRC European Soil Data Centre in 2011-2012. The information presented in this report is based on a set of indicators which have been agreed on and used by the EIONET for more than a decade. This set of indicators contributes to the Core Set Indicator ""Progress in the Management of Contaminated Sites"" (CSI 015) of the European Environment Agency (EEA), which is used for reporting on the State of the Environment. Author(s) Marc van Liedekerke, Gundula Prokop, Sabine Rabl-Berger, Mark Kibblewhite and Geertrui Louwagie. Luxembourg: Publications Office of the European Union 2014 – 64 pp. – UR – Scientific and Technical Research series – ISSN 1831-9424 (online) ISBN 978-92-79-34846-4 (PDF), doi:10.2788/4658 Download report: (Size: 6 MB) Preview FrontPage : Last Update: 27/02/2014"|"/ESDB_Archive/eusoils_docs/images/small/EUR26376EN.JPG"|"download;download"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/other/EUR26376EN.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Images/EUR26376EN.pdf"
3|"tab1"|"103"|"European Hydropedological Data Inventory (EU-HYDI) There is a common need for reliable hydropedological information in Europe. In the last decades research institutes, universities and government agencies have developed local, regional and national datasets containing soil physical, chemical, hydrological and taxonomic information often combined with land use and landform data. The objective of the joint effort of the participants is to establish the European Hydropedological Data Inventory (EU-HYDI). This database holds data from European soils focusing on soil physical, chemical and hydrological properties. It also contains information on geographical location, soil classification and land use/cover at the time of sampling. It was assembled with the aim of encompassing the soil variability in Europe. It contains data from 18 countries with contributions from 29 institutions. This report presents an overview of the database, details the individual contributed datasets and explains the quality assurance and harmonization process that lead to the final database. Author(s) Weynants Melanie et al. – Luxembourg: Publications Office of the European Union – 2013 – 168pp. – EUR26053EN Scientific and Technical Research series, ISSN 1831-9424, doi:10.2788/5936 Download report: (Size: 6 MB) Preview FrontPage : Last Update: 20/01/2014"|"/ESDB_Archive/eusoils_docs/images/small/EUR26053EN.JPG"|"download;download"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/other/EUR26053EN.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Images/EUR26053EN.pdf"
4|"tab1"|"102"|"Threats to the Soil Resource Base of Food Security in China and Europe To secure adequate food supply is the major challenge for humanity in the 21st century. Growing world population and its urbanization put pressure on this basic need, which is further threatened by the constant loss of fertile land. The assessment of sustainability of food supply under increasing pressure on land resources has been selected as one of the most important priority topics of the activities of Sino-EU Panel on Land and Soil (SEPLS). The Panel has performed a number of related researches and discussed the results on a scientific seminar in January 2012 in Nanjing, China. This report is an output of this seminar with a summary of the structured discussions on the below issues. Author(s) Gergely Tóth and Xiubin Li (eds.) – Luxembourg: Publications Office of the European Union – 2013 – 117pp. – EUR25632EN Scientific and Technical Research series, ISSN 1831-9424, doi:10.2788/71196 Download report: (Size: 4 MB) Preview FrontPage : Last Update: 10/09/2013"|"/ESDB_Archive/eusoils_docs/images/small/EUR25632EN.JPG"|"download;download"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/other/EUR25632EN.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Images/EUR25632EN.pdf"
5|"tab1"|"101"|"LUCAS Topsoil Survey: methodology, data and results In 2009, the European Commission extended the periodic Land Use/Land Cover Area Frame Survey (LUCAS) to sample and analyse the main properties of topsoil in 23 Member States of the European Union (EU). This topsoil survey represents the first attempt to build a consistent spatial database of the soil cover across The EU based on standard sampling and analytical procedures, with the analysis of all soil samples being carried out in a single laboratory. Approximately 20,000 points were selected out of the main LUCAS grid for the collection of soil samples. A standardised sampling procedure was used to collect around 0.5 kg of topsoil. The samples were dispatched to a central laboratory for physical and chemical analyses. Subsequently, Malta and Cyprus provided soil samples even though the main LUCAS survey was not carried on their territories. Cyprus has adapted the sampling methodology of LUCAS-Topsoil for (the southern part of the island) while Malta adjusted its national sampling grid to correspond to the LUCAS standards. Bulgaria and Romania have been sampled in 2012. However, the analysis is ongoing and the results are not included in this report.The final database contains 19,967 geo-referenced samples. This report provides a detailed insight to the design and methodology of the data collection and laboratory analysis. All samples have been analysed for the percentage of coarse fragments, particle size distribution (% clay, silt and sand content), pH (in CaCl2 and H2O), organic carbon (g/kg), carbonate content (g/kg), phosphorous content (mg/kg), total nitrogen content (g/kg), extractable potassium content (mg/kg), cation exchange capacity (cmol(+)/kg) and multispectral properties. Author(s) Gergely Tóth, Arwyn Jones and Luca Montanarella (eds.). – Luxembourg: Publications Office of the European Union – 2013 – 141pp. – EUR26102EN Scientific and Technical Research series, ISSN 1831-9424, doi:10.2788/97922 Download report: (Size: 8 MB) Preview FrontPage : Last Update: 4/09/2013"|"/ESDB_Archive/eusoils_docs/images/small/EUR26102EN.JPG"|"download;download"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/other/EUR26102EN.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Images/EUR26102EN.pdf"
6|"tab1"|"100"|"Mapping Soil Properties for Europe - Spatial Representation of Soil Database Attributes The European Soil Database (ESDB) provides the most detailed and comprehensive set of data for soil properties with pan-European coverage. However, using the ESDB soil properties in combination with spatial applications is hampered by the structure of the database for soil typological attributes. In this study a layer of mapped typological units was used to resolve issues related to the database structure for the spatial representation of soil properties and to map key soil properties to standardized spatial layers. The information available from the ESDB tends to be more suited to characterise the site of a soil unit, including morphological conditions. The range of soil property data was extended by the Harmonized World Soil Database (HWSD), which provides more detailed information on soil properties. Combining data from both databases was achieved by processing the attributes in a database management system and then linking the output to a spatial reference layer and by transferring attributes to the spatial layer from each database and processing the data by spatial overlay functions of a Geographic Information System (GIS). Author(s) Hiederer, R. – Luxembourg: Publications Office of the European Union – 2013 – 47pp. – EUR26082EN Scientific and Technical Research series, ISSN 1831-9424, doi:10.2788/94128 Download report: (Size: 6 MB) Preview FrontPage : Last Update: 27/08/2013"|"/ESDB_Archive/eusoils_docs/images/small/EUR26082EN.JPG"|"download;download"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/other/EUR26082EN.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Images/EUR26082EN.pdf"
7|"tab1"|"99"|"Soil Resources of Mediterranean and Caucasus Countries This book is result of the workshop on ""Extension of the European Soil Database"" held in Izmir/Turkey on 14-15 May 2012. The country reports on the status of soil mapping and the development of national soil information systems were presented briefly and discussed in relation to the objective on extension of the European soil database and information system. The most recent extension studies cover Algeria, Armenia, Azerbaijan Cyprus, Egypt, Georgia, Iraq, Israel, Jordan, Lebanon, Libya, Malta, Morocco, Palestine, Syria, Tunisia, and Turkey this book features country chapters, with contributions from 13 of the above-mentioned countries. Editors(s) Yusuf Yigini, Panos Panagos, Luca Montanarella. Special thanks to the contributors: H. Ghazaryan (Armenia), A. Ismayilov (Azerbaijan), Z. Zomeni, A. Bruggeman (Cuprus), M.M. Kotb (Egypt), T.F. Urushadze, G.O. Ghambashidze (Georgia), A. Salih Mhaimeed (Iraq), O. Crouvi, R. Zaidenberg, M. Shapiro (Israel), M. H Al Ferihat (Jordan), T. Darwish (Lebanon), B. Nwer(Libya), Malta Environment and Planning Authority (Malta), B. Dudeen, W0 Abu Rmailah, M. Alsalimiya, M. Alamleh (Palestine), S. Senol, I. Bayramin (Turkey). – Luxembourg: Publications Office of the European Union – 2013 – 243pp. – EUR25988EN Scientific and Technical Research series, SSN 1831-9424, ISBN 978-92-79-30346-3, doi: 10.2788/91322 Download report: (Size: 17 MB) Preview FrontPage : Last Update: 03/06/2013"|"/ESDB_Archive/eusoils_docs/images/small/EUR25988EN.JPG"|"download;download"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/other/EUR25988EN.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Images/EUR25988EN.pdf"
8|"tab1"|"98"|"Mapping Soil Typologies - Spatial Decision Support Applied to European Soil Database For many applications of modelling environmental conditions or processes soil characteristics are needed in form of spatial data ready to be integrated in a GIS. A source of uniform data on characteristics of European soils is available from the European Soil Database (ESDB) of the European Soil Bureau. The soil information was collected by participating national institutions and underwent an extensive process of harmonizing the thematic content of recording the soil characteristics and ensuring spatial continuity along boundaries. In the database a many-to-1 link is used to relate soil characteristics to the geographic layer. Thus, considerably effort is required to represent specific soil characteristics in a single spatial layer. Author(s) Hiederer, R. – Luxembourg: Publications Office of the European Union – 2013 – 147pp. – EUR25932EN Scientific and Technical Research series, ISSN 1831-9424, doi:10.2788/87286 Download report: (Size: 5 MB) Preview FrontPage : Last Update: 23/04/2013"|"/ESDB_Archive/eusoils_docs/images/small/EUR25932EN.JPG"|"download;download"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/other/EUR25932EN.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Images/EUR25932EN.pdf"
9|"tab1"|"97"|"Processing Indices of Change and Extremes from Regional Climate Change Data Indicators of climate change and extremes from regional models coming from the PRUDENCE project of the Danish Meteorological Institute, the consortial simulation of the Climate Limited-area Modelling Community and 12 runs of bias-corrected data from the ENSEMBLES project were processed. The resulting indicators were standardized to a common map projection, grid size and spatial extent to be directly available for further analysis or integration with other spatial data. The indicators were used in the data available from the European Climate Adaptation Platform (CLIMATE-ADAPT), the European Database of Vulnerabilities to Natural Hazards (EVDAB), the JRC activities within the FP7 RESPONSES project and support the evaluation of changes in soil organic carbon under climate scenarios. Author(s) Hiederer, R. – Luxembourg: Publications Office of the European Union – 2012 – 29pp. – EUR25339 Scientific and Technical Research series - ISBN 978-92-79-24994-5 , doi: 10.2788/27516 Download report: (Size: 1 MB) Preview FrontPage : Last Update: 09/04/2013"|"/ESDB_Archive/eusoils_docs/images/small/EUR25339EN.JPG"|"download;download"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/other/EUR25339EN.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Images/EUR25339EN.pdf"
